# Downloaded at 2023-07-16
# Used for testing (calculation validation)
# Source: https://www.waveformlighting.com/tech/black-body-and-reconstituted-daylight-locus-coordinates-by-cct-csv-excel-format
# Source: https://www.waveformlighting.com/files/blackBodyLocus_1.txt

# CCT	x (black body)	y (black body)	u' (black body)	v' (black body)	y (daylight)	y (TM30)

1000	0.652750055750174	0.344462227197370	0.448006063702322	0.531938100300609		0.344462227197370
1001	0.652608822236564	0.344587439057505	0.447771986776186	0.531968528668118		0.344587439057505
1002	0.652467612975944	0.344712559066370	0.447538158093841	0.531998901629233		0.344712559066370
1003	0.652326428036135	0.344837587013882	0.447304577539385	0.532029219170930		0.344837587013882
1004	0.652185267484327	0.344962522690889	0.447071244995542	0.532059481280494		0.344962522690889
1005	0.652044131387083	0.345087365889168	0.446838160343669	0.532089687945514		0.345087365889168
1006	0.651903019810343	0.345212116401423	0.446605323463777	0.532119839153886		0.345212116401423
1007	0.651761932819430	0.345336774021280	0.446372734234527	0.532149934893808		0.345336774021280
1008	0.651620870479054	0.345461338543287	0.446140392533261	0.532179975153780		0.345461338543287
1009	0.651479832853317	0.345585809762909	0.445908298235999	0.532209959922605		0.345585809762909
1010	0.651338820005714	0.345710187476526	0.445676451217456	0.532239889189381		0.345710187476526
1011	0.651197831999142	0.345834471481431	0.445444851351052	0.532269762943508		0.345834471481431
1012	0.651056868895903	0.345958661575826	0.445213498508924	0.532299581174678		0.345958661575826
1013	0.650915930757705	0.346082757558819	0.444982392561941	0.532329343872880		0.346082757558819
1014	0.650775017645670	0.346206759230423	0.444751533379708	0.532359051028396		0.346206759230423
1015	0.650634129620340	0.346330666391551	0.444520920830581	0.532388702631799		0.346330666391551
1016	0.650493266741673	0.346454478844017	0.444290554781678	0.532418298673952		0.346454478844017
1017	0.650352429069058	0.346578196390529	0.444060435098892	0.532447839146007		0.346578196390529
1018	0.650211616661310	0.346701818834687	0.443830561646897	0.532477324039406		0.346701818834687
1019	0.650070829576681	0.346825345980985	0.443600934289164	0.532506753345873		0.346825345980985
1020	0.649930067872860	0.346948777634801	0.443371552887967	0.532536127057419		0.346948777634801
1021	0.649789331606978	0.347072113602401	0.443142417304396	0.532565445166337		0.347072113602401
1022	0.649648620835614	0.347195353690933	0.442913527398372	0.532594707665204		0.347195353690933
1023	0.649507935614796	0.347318497708423	0.442684883028648	0.532623914546876		0.347318497708423
1024	0.649367276000008	0.347441545463778	0.442456484052826	0.532653065804487		0.347441545463778
1025	0.649226642046193	0.347564496766776	0.442228330327370	0.532682161431451		0.347564496766776
1026	0.649086033807755	0.347687351428069	0.442000421707608	0.532711201421456		0.347687351428069
1027	0.648945451338569	0.347810109259179	0.441772758047748	0.532740185768467		0.347810109259179
1028	0.648804894691976	0.347932770072494	0.441545339200889	0.532769114466722		0.347932770072494
1029	0.648664363920795	0.348055333681267	0.441318165019027	0.532797987510732		0.348055333681267
1030	0.648523859077325	0.348177799899612	0.441091235353069	0.532826804895277		0.348177799899612
1031	0.648383380213343	0.348300168542505	0.440864550052841	0.532855566615409		0.348300168542505
1032	0.648242927380118	0.348422439425775	0.440638108967097	0.532884272666447		0.348422439425775
1033	0.648102500628407	0.348544612366109	0.440411911943533	0.532912923043978		0.348544612366109
1034	0.647962100008461	0.348666687181044	0.440185958828791	0.532941517743853		0.348666687181044
1035	0.647821725570032	0.348788663688966	0.439960249468475	0.532970056762191		0.348788663688966
1036	0.647681377362372	0.348910541709110	0.439734783707154	0.532998540095370		0.348910541709110
1037	0.647541055434241	0.349032321061553	0.439509561388378	0.533026967740034		0.349032321061553
1038	0.647400759833906	0.349154001567216	0.439284582354685	0.533055339693083		0.349154001567216
1039	0.647260490609150	0.349275583047859	0.439059846447606	0.533083655951682		0.349275583047859
1040	0.647120247807274	0.349397065326079	0.438835353507686	0.533111916513249		0.349397065326079
1041	0.646980031475098	0.349518448225307	0.438611103374479	0.533140121375463		0.349518448225307
1042	0.646839841658968	0.349639731569808	0.438387095886569	0.533168270536255		0.349639731569808
1043	0.646699678404759	0.349760915184676	0.438163330881572	0.533196363993814		0.349760915184676
1044	0.646559541757878	0.349881998895832	0.437939808196152	0.533224401746579		0.349881998895832
1045	0.646419431763266	0.350002982530025	0.437716527666020	0.533252383793243		0.350002982530025
1046	0.646279348465408	0.350123865914823	0.437493489125954	0.533280310132749		0.350123865914823
1047	0.646139291908328	0.350244648878617	0.437270692409802	0.533308180764291		0.350244648878617
1048	0.645999262135598	0.350365331250615	0.437048137350492	0.533335995687308		0.350365331250615
1049	0.645859259190343	0.350485912860841	0.436825823780039	0.533363754901489		0.350485912860841
1050	0.645719283115238	0.350606393540134	0.436603751529559	0.533391458406769		0.350606393540134
1051	0.645579333952519	0.350726773120142	0.436381920429274	0.533419106203327		0.350726773120142
1052	0.645439411743979	0.350847051433324	0.436160330308519	0.533446698291585		0.350847051433324
1053	0.645299516530980	0.350967228312943	0.435938980995756	0.533474234672209		0.350967228312943
1054	0.645159648354450	0.351087303593069	0.435717872318579	0.533501715346103		0.351087303593069
1055	0.645019807254887	0.351207277108573	0.435497004103722	0.533529140314416		0.351207277108573
1056	0.644879993272366	0.351327148695125	0.435276376177069	0.533556509578533		0.351327148695125
1057	0.644740206446542	0.351446918189194	0.435055988363664	0.533583823140076		0.351446918189194
1058	0.644600446816647	0.351566585428042	0.434835840487716	0.533611081000906		0.351566585428042
1059	0.644460714421503	0.351686150249728	0.434615932372608	0.533638283163118		0.351686150249728
1060	0.644321009299518	0.351805612493099	0.434396263840909	0.533665429629042		0.351805612493099
